"","phylum","gene","description"
"394","firmicutes","FIG01530685","Beta-lactamase class A-like protein"
"395","firmicutes","FIG00119690","Flagellar basal-body rod protein FlgG"
"396","firmicutes","FIG00525288","FIG00525293: hypothetical protein"
"397","firmicutes","FIG01114986","FtsK protein"
"398","firmicutes","FIG00042179","Pyrimidine ABC transporter, transmembrane component 1"
"399","firmicutes","FIG01229841","Acetyltransferase, GNAT family (EC 2.3.1.-)"
"400","firmicutes","FIG01311595","probable membrane protein STY4873"
"401","firmicutes","FIG01595147","Possible non-processive endoglucanase family 9, secreted; CelG ortholog; dockerin and cellulose-binding domain"
"402","firmicutes","FIG00007495","Spore maturation protein B"
"403","firmicutes","FIG00017454","Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)"
"404","firmicutes","FIG01929646","Short-chain alcohol dehydrogenase family protein"
"405","firmicutes","FIG00522845","FIG00522846: hypothetical protein"
"406","firmicutes","FIG00527938","FIG00527942: hypothetical protein"
"407","firmicutes","FIG00000571","Signal transduction histidine kinase CheA (EC 2.7.3.-)"
"408","firmicutes","FIG00517029","FIG00517032: hypothetical protein"
"409","firmicutes","FIG00516644","Zn-finger containing protein"
"410","firmicutes","FIG01212745","glycosyl hydrolase"
"411","firmicutes","FIG00529302","FIG00529305: hypothetical protein"
"412","firmicutes","FIG01194210","uncharacterized membrane protein"
"413","firmicutes","FIG00523216","FIG00523217: hypothetical protein"
"414","firmicutes","FIG00525656",NA
"415","firmicutes","FIG00147632","Putative 3-hydroxyacyl-coa dehydrogenase"
"416","firmicutes","FIG00937140","FHA domain protein"
"417","firmicutes","FIG01363813","Microcystin dependent protein"
"418","firmicutes","FIG01590464","Hypothetical protein, CF-21 family"
"419","firmicutes","FIG01626267","Endoglucanase B precursor (EC 3.2.1.4) (Endo-1,4-beta-glucanase B) (Cellulase B) (EG-B)"
"420","firmicutes","FIG00011659","Formate dehydrogenase-O, major subunit (EC 1.2.1.2)"
"421","firmicutes","FIG00016382","Spore germination protein GerKC"
"422","firmicutes","FIG00517274","FIG00517277: hypothetical protein"
"423","firmicutes","FIG00515820","FIG00515821: hypothetical protein"
"424","firmicutes","FIG00524689","FIG00524692: hypothetical protein"
"425","firmicutes","FIG01425830","FIG00530988: hypothetical protein"
"426","firmicutes","FIG01345058","Amino acid permease"
"427","firmicutes","FIG00516955","FIG00516956: hypothetical protein"
"428","firmicutes","FIG00523080","FIG00523086: hypothetical protein"
"429","firmicutes","FIG00005204","Inner membrane component of tripartite multidrug resistance system"
"430","firmicutes","FIG00529810","FIG00529811: hypothetical protein"
"431","firmicutes","FIG01496029","Ucharacterized protein, CGEB homolog"
"432","firmicutes","FIG00149130","Homocitrate synthase omega subunit (EC 2.3.3.14)"
"433","firmicutes","FIG00521039","FIG00521043: hypothetical protein"
"434","firmicutes","FIG00515955","N-acetylmuramoyl-L-alanine amidase/putative S-layer protein"
"435","firmicutes","FIG00125524","Cobalt-precorrin-3b C17-methyltransferase / domain of unknown function"
"436","firmicutes","FIG00522339","FIG00522346: hypothetical protein"
"437","firmicutes","FIG01599240","NLP/P60"
"438","firmicutes","FIG00666698","FMN-dependent alpha-hydroxy acid dehydrogenase"
"439","firmicutes","FIG00814319","putative protease"
"440","firmicutes","FIG01955975","[Ni/Fe] hydrogenase, group 1, large subunit"
"441","firmicutes","FIG00522333","FIG00522334: hypothetical protein"
"442","firmicutes","FIG01351616","Glutaminase A"
"443","firmicutes","FIG00815019","Phospholipid/glycerol acyltransferase"
"444","firmicutes","FIG00003769","Stage III sporulation protein AE"
"445","firmicutes","FIG01361232","helicase, Snf2 family"
"446","firmicutes","FIG01311754","XoxI"
"447","firmicutes","FIG01669603","Pectate lyase related protein, secreted"
"448","firmicutes","FIG00027526","Urea ABC transporter, ATPase protein UrtD"
"449","firmicutes","FIG00533145","FIG00533151: hypothetical protein"
"450","firmicutes","FIG00529794","FIG00529796: hypothetical protein"
"451","firmicutes","FIG00520753","FIG00520757: hypothetical protein"
"452","firmicutes","FIG01320182","Truncated-SA protein"
"453","firmicutes","FIG01226599","Glutamine transport ATP-binding protein GlnQ (TC 3.A.1.3.2)"
"454","firmicutes","FIG01523369","Histidine kinase-like ATPase"
"455","firmicutes","FIG01080394","Vanillate demethylase( EC:1.14.13.82 )"
"456","firmicutes","FIG00521749","FIG00521751: hypothetical protein"
"457","firmicutes","FIG00529894","FIG00529900: hypothetical protein"
"458","firmicutes","FIG00626585","predicted dehydrogenase"
"459","firmicutes","FIG01282595","hydrogenase maturation protease"
"460","firmicutes","FIG00868616",NA
"461","firmicutes","FIG00517537","FIG00517538: hypothetical protein"
"462","firmicutes","FIG00518858","FIG00518860: hypothetical protein"
"463","firmicutes","FIG00000650","Flagellar hook-associated protein FlgK"
"464","firmicutes","FIG00000652","Positive regulator of CheA protein activity (CheW)"
"465","firmicutes","FIG00590761","Uncharacterised conserved protein UCP029876"
"466","firmicutes","FIG00815040","secreted glycosyl hydrolase"
"467","firmicutes","FIG01367614","chemotaxis sensory transducer"
"468","firmicutes","FIG01445066","Carboxyl esterase, a/b hydrolase"
"469","firmicutes","FIG00527180","FIG00527181: hypothetical protein"
"470","firmicutes","FIG00002793","S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A"
"471","firmicutes","FIG00517471","FIG00517472: hypothetical protein"
"472","firmicutes","FIG01126425","secreted cellulase"
"473","firmicutes","FIG01476616","Methylase homolog (CspR) (Fragment)"
"474","firmicutes","FIG00137556","Putrescine aminotransferase (EC 2.6.1.82)"
"475","firmicutes","FIG00003646","Carotenoid cis-trans isomerase (EC 5.2.-.-)"
"476","firmicutes","FIG01004340","putative ORF-2"
"477","firmicutes","FIG00002596","Nitrogenase (molybdenum-iron) beta chain (EC 1.18.6.1)"
"478","firmicutes","FIG01319925","Pirin"
"479","firmicutes","FIG00512728","Putative flagellar hook associated protein"
"480","firmicutes","FIG01203013","polysaccharide pyruvyl transferase"
"481","firmicutes","FIG01230706","FIG01230707: hypothetical protein"
"482","firmicutes","FIG00533322","conserved protein with patatin domain"
"483","firmicutes","FIG00823619","LigA"
"484","firmicutes","FIG00522095","FIG00522097: hypothetical protein"
"485","firmicutes","FIG00519354","FIG00519357: hypothetical protein"
"486","firmicutes","FIG00514266","FIG00514268: hypothetical protein"
"487","firmicutes","FIG00001830","dCMP deaminase (EC 3.5.4.12); Late competence protein ComEB"
"488","firmicutes","FIG01802440","YvaN"
"489","firmicutes","FIG00002036","Chorismate mutase II (EC 5.4.99.5)"
"490","firmicutes","FIG00007603","L-Cystine ABC transporter, periplasmic cystine-binding protein TcyK"
"491","firmicutes","FIG00001607","Cobalamin biosynthesis protein BluB @ 5,6-dimethylbenzimidazole synthase, flavin destructase family"
"492","firmicutes","FIG00000950","Flagellar biosynthesis protein FlhF"
"493","firmicutes","FIG01304341","SpoVS-related protein, type 4"
"494","firmicutes","FIG00148492","Nitrogenase FeMo-cofactor scaffold and assembly protein NifN / Nitrogenase FeMo-cofactor synthesis FeS core scaffold and assembly protein NifB"
"495","firmicutes","FIG00523485","FIG00523486: hypothetical protein"
"496","firmicutes","FIG01228824","FIG01228825: hypothetical protein"
"497","firmicutes","FIG00026673","D-galactonate transporter"
"498","firmicutes","FIG01539363","FIG00528207: hypothetical protein"
"499","firmicutes","FIG00527017","FIG00527028: hypothetical protein"
"500","firmicutes","FIG01230671","FIG01230674: hypothetical protein"
"501","firmicutes","FIG00003224","tRNA nucleotidyltransferase, CC-adding (EC 2.7.7.21)"
"502","firmicutes","FIG01229072","FIG01229074: hypothetical protein"
"503","firmicutes","FIG00525500",NA
"504","firmicutes","FIG00009398","Flagellar hook-associated protein FlgL"
"505","firmicutes","FIG01316424","Cation-transporting ATPase"
"506","firmicutes","FIG00009989","Niacin transporter NiaP"
"507","firmicutes","FIG01054976","copper amine oxidase-like"
"508","firmicutes","FIG00000664","Ferredoxin, 2Fe-2S"
"509","firmicutes","FIG00520376","FIG00520378: hypothetical protein"
"510","firmicutes","FIG00006794","Stage III sporulation protein AF"
"511","firmicutes","FIG00525353","FIG00525356: hypothetical protein"
"512","firmicutes","FIG00956612","Ankyrin"
"513","firmicutes","FIG00516633","FIG00516635: hypothetical protein"
"514","firmicutes","FIG01476705","drug transport protein"
"515","firmicutes","FIG00524569","FIG00524570: hypothetical protein"
"516","firmicutes","FIG00532443","ABC Transporter, ATP-binding protein"
"517","firmicutes","FIG01314977","Poly(3-hydroxybutyrate) depolymerase"
"518","firmicutes","FIG00004545","Stage II sporulation protein M (SpoIIM)"
"519","firmicutes","FIG01537156","FeoA-like protein, involved in iron transport"
"520","firmicutes","FIG00007097","predicted 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)"
"521","firmicutes","FIG00984263",NA
"522","firmicutes","FIG01451919","Multidrug-efflux transporter 2 regulator"
"523","firmicutes","FIG01319359","DnaK suppressor protein"
"524","firmicutes","FIG00516084","FIG00516085: hypothetical protein"
"525","firmicutes","FIG00519250","FIG00519253: hypothetical protein"
"526","firmicutes","FIG01695254","NADH-quinone oxidoreductase, E subunit"
"527","firmicutes","FIG01447658","Glycosyltransferase, family 4"
"528","firmicutes","FIG01353285",NA
"529","firmicutes","FIG00517939","FIG00517945: hypothetical protein"
"530","firmicutes","FIG00975822","Phytanoyl-CoA dioxygenase"
"531","firmicutes","FIG00519484","FIG00519485: hypothetical protein"
"532","firmicutes","FIG00522650","FIG00522652: hypothetical protein"
"533","firmicutes","FIG00523656","FIG00523668: hypothetical protein"
"534","firmicutes","FIG01421429","Protein containing cell adhesion domain"
"535","firmicutes","FIG00229527","2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase related protein"
"536","firmicutes","FIG00528480","FIG00528484: hypothetical protein"
"537","firmicutes","FIG00525840","FIG00525841: hypothetical protein"
"538","firmicutes","FIG01225936","FIG01225937: hypothetical protein"
"539","firmicutes","FIG00526766","probable phosphinothricin acetyltransferase (antibiotic resistance) protein"
"540","firmicutes","FIG01583125","Specialized sigma subunit of RNA polymerase"
"541","firmicutes","FIG00589305","FIG00589306: hypothetical protein"
"542","firmicutes","FIG00518378","FIG00518379: hypothetical protein"
"543","firmicutes","FIG00519971","FIG00519972: hypothetical protein"
"544","firmicutes","FIG00525356","FIG00525361: hypothetical protein"
"545","firmicutes","FIG01146287","Putative ATP /GTP binding protein"
"546","firmicutes","FIG00057432","Flagellar biosynthesis protein FliL"
"547","firmicutes","FIG01308612","Glycosyl transferase, group 1 family (EC 2.4.1.-)"
"548","firmicutes","FIG01341933","SpoIID-like domain containing protein; peptidoglycan-binding domain"
"549","firmicutes","FIG00527655","FIG00527656: hypothetical protein"
"550","firmicutes","FIG00525653","Metal-dependent phosphohydrolase, HD region"
"551","firmicutes","FIG01729665","Uncharacterized membrane-associated protein-like"
"552","firmicutes","FIG01354845","HAD-superfamily hydrolase-like protein"
"553","firmicutes","FIG00004895","Flagellar assembly factor FliW"
"554","firmicutes","FIG00000594","Chaperone protein HtpG"
"555","firmicutes","FIG01281618","fumarylacetoacetate (FAA) hydrolase"
"556","firmicutes","FIG01036965","putative LysR-family transcriptional regulator"
"557","firmicutes","FIG00603001","phage tail protein"
"558","firmicutes","FIG01385518","helicase domain protein"
"559","firmicutes","FIG00815849","Pyridoxal-dependent decarboxylase"
"560","firmicutes","FIG00817575","Acyl carrier protein, putative"
"561","firmicutes","FIG01529695","Methylcobalamin methyltransferase MMP0831"
"562","firmicutes","FIG00645492","Spore protease GPR related protein"
"563","firmicutes","FIG01495294","ribosomal RNA adenine dimethylase"
"564","firmicutes","FIG01244047","gas vesicle protein GvpG"
"565","firmicutes","FIG00521451","FIG00521454: hypothetical protein"
"566","firmicutes","FIG01340825","glycosyl transferase family 39"
"567","firmicutes","FIG01390101","Mn-dependent transcriptional regulator"
"568","firmicutes","FIG01311985","3-Oxoadipate enol-lactonase, alpha/beta hydrolase fold family [EC:3.1.1.24]"
"569","firmicutes","FIG00005303","Malonate transporter, MadM subunit"
"570","firmicutes","FIG00012395","DNA integrity scanning protein DisA"
"571","firmicutes","FIG00443156","Chalcone synthase (EC 2.3.1.74)"
"572","firmicutes","FIG01648494","Endoglucanase Z precursor (EC 3.2.1.4) (Endo-1,4-beta-glucanase) (Thermoactive cellulase) (Avicelase I)"
"573","firmicutes","FIG00527957","FIG00527959: hypothetical protein"
"574","firmicutes","FIG01074519","Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)"
"575","firmicutes","FIG00006322","Urea ABC transporter, permease protein UrtB"
"576","firmicutes","FIG00514627","FIG00514628: hypothetical protein"
"577","firmicutes","FIG01664398","similar to Uncharacterized protein conserved in bacteria"
"578","firmicutes","FIG01330790","DNA alkylation repair enzyme"
"579","firmicutes","FIG00599294","protein of unknown function DUF421"
"580","firmicutes","FIG00562304","FIG00562308: hypothetical protein"
"581","firmicutes","FIG01528436","Zn-dependent aminopeptidase, putative"
"582","firmicutes","FIG00527759","FIG00527762: hypothetical protein"
"583","firmicutes","FIG00522503","FIG00522506: hypothetical protein"
"584","firmicutes","FIG01344423","Protein erfK/srfK precursor"
"585","firmicutes","FIG00956515","Membrane protease subunits, stomatin/prohibitin homologs"
"586","firmicutes","FIG00517393","glycosyltransferase 36"
"587","firmicutes","FIG01315921","Spore photoproduct lyase (EC 4.1.99.-)"
"588","firmicutes","FIG00133362","Dihydropyrimidine dehydrogenase [NADP+] (EC 1.3.1.2); Dihydroorotate dehydrogenase (EC 1.3.3.1)"
"589","firmicutes","FIG01435839","transcriptional regulator, TrmB"
"590","firmicutes","FIG00515809","FIG00515810: hypothetical protein"
"591","firmicutes","FIG00008051","Chromate resistance protein ChrB"
"592","firmicutes","FIG01230543","FIG01230544: hypothetical protein"
"593","firmicutes","FIG00779230","FIG00779234: hypothetical protein"
"594","firmicutes","FIG00514472","FIG00514474: hypothetical protein"
"595","firmicutes","FIG00525892","4-amino-4-deoxychorismate lyase( EC:4.- )"
"596","firmicutes","FIG00513461","FIG00513465: hypothetical protein"
"597","firmicutes","FIG00001155","Flagellar synthesis regulator FleN"
"598","firmicutes","FIG00072383",NA
"599","firmicutes","FIG00073385","Lipoteichoic acid synthase LtaS Type IVb"
"600","firmicutes","FIG00530534","putative nucleoside-diphosphate sugar epimerase"
"601","firmicutes","FIG00525301","FIG00525303: hypothetical protein"
"602","firmicutes","FIG00446431","Putative stomatin/prohibitin-family membrane protease subunit PA4582"
"603","firmicutes","FIG01225495","FIG01225496: hypothetical protein"
"604","firmicutes","FIG00513205","FIG00513207: hypothetical protein"
"605","firmicutes","FIG00697844","putative methyl-accepting chemotaxis protein"
"606","firmicutes","FIG00520090","Permease of the Na:galactoside symporter family"
"607","firmicutes","FIG00025607","Multidrug resistance transporter, Bcr/CflA family"
"608","firmicutes","FIG00125327","Flagellar protein FlbD"
"609","firmicutes","FIG01434055","FIG00520097: hypothetical protein"
"610","firmicutes","FIG00533297","FIG00533300: hypothetical protein"
